A.5.1.1.1;"Existe-t-il des politiques de sécurité ?
"
A.5.1.1.2;Ces politiques sont-ils approuvées par le management ?
A.5.1.1.3;Ces politiques sont-elles communiqués aux employés de la société ?
A.5.1.2.1;"Les politiques de sécurité sont-elles passées en revue ?

"
A.5.1.2.2;Les revues sont-elles à un intervalle régulier ?
A.5.1.2.3;Des revues sont-elles établissent lors de changements ?
A.6.1.1.1;Les responsabilités pour la protection des biens individuels et des processus de sécurité spécifiques sont-ils clairement identifiés, définis et communiqués aux parties concernés ?
A.6.1.2.1;"Les fonctions et les domaines de responsabilité sont-ils séparés, afin de limiter les
possibilités de modification ou de mauvais usage, non autorisé(e) ou involontaire, des actifs de
l’organisation ?"
A.6.1.3.1;Existe-t-il une procédure permettant de documenter quand, et par qui, des contacts avec les autorités compétentes (application de la loi, etc.) seront-ils effectués?
A.6.1.3.2;Existe-t-il un processus qui détaille comment et quand le contact est requis?
A.6.1.3.3;"
Existe-t-il un processus de partage systématique des contacts et des renseignements?"
A.6.1.4.1;Des personnes dans l'organisation investies dans la sécurité du SI ont-elles des relations appropriées avec des groupes d’intérêt, des forums spécialisés, professionnels, associations dans la sécurité de l’information
A.6.1.5.1;Tous les projets font-ils l'objet d'une évaluation de la sécurité de l'information?
A.6.2.1.1;"Existe-t-il une politique de sécurité mobile ?
"
A.6.2.1.2;La politique est-elle approuvée par la direction?
A.6.2.1.3;Cette politique (document) reporte-t-il les risques additionnels concernant l’usage des appareils mobiles (Vol, utilisation de Hotspot, etc.) ?
A.6.2.2.1;Y a-t-il une politique pour le télétravail ?
A.6.2.2.2;La politique est-elle approuvée par la direction?
A.6.2.2.3;"Existe-t-il un processus défini pour que les « télétravailleurs » puissent accéder à distance à l’organisation ?
"
A.6.2.2.4;Les télétravailleurs ont-ils les conseils et l'équipement nécessaires pour protéger leurs biens?
A.7.1.1.1;"La vérification des antécédents sont-elles effectuées sur tous les nouveaux candidats à l'emploi?


"
A.7.1.1.2;Ces contrôles sont-ils approuvés par l'autorité de gestion appropriée?
A.7.1.1.3;Les contrôles des antécédents sont-ils règlementaires, éthiques et pertinents ?
A.7.1.1.4;Le niveau de contrôle est-il en adéquation avec l’analyse de risque ?
A.7.1.2.1;"Tous les employés, les parties prenantes et les utilisateurs tiers sont-ils priés de signer des accords de confidentialité et de non-divulgation?
"
A.7.1.2.2;Les contrats d'emploi / de services couvrent-ils spécifiquement la nécessité de protéger les informations commerciales?
A.7.2.1.1;"Les managers (de tous les niveaux) sont-ils engagés dans l’utilisation de la sécurité dans l’entreprise ?
"
A.7.2.1.2;Le management et la conduite des politiques conduit-il, encourage t-il les employés, les parties prenantes, les utilisateurs à appliquer les politiques et procédures de sécurité ?
A.7.2.2.1;Les employés, parties prenantes sont-ils inscrits à des formations de sensibilisation suivant leurs domaines de travail ?
A.7.2.3.1;Existe-t-il un processus disciplinaire formel qui permet à l'organisation de prendre des mesures contre les employés qui ont commis une violation de la sécurité de l'information?
A.7.2.3.2;"
Celles-ci sont elles communiqués aux parties intéressés ?"
A.7.3.1.1;"Existe-t-il une procédure documentée pour mettre fin ou modifier des fonctions professionnelles d’un employé?

"
A.7.3.1.2;Y a-t-il des fonctions dans la sécurité de l’information pouvant ne pas survivre si un employé est en rupture de contrat ?
A.7.3.1.3;L'organisation est-elle en mesure de faire respecter les obligations d’un employé en sécurité de l’information avant son départ ?
A.8.1.1.1;"Existe-t-il un inventaire de tous les actifs associés à l’information et moyens de traitement de l’information ?
"
A.8.1.1.2;Cet inventaire est-il mise à jour ?
A.8.1.2.1;Tous les biens informationnels ont-il un propriétaire clairement défini qui est conscient de ses responsabilités ?
A.8.1.3.1;"Existe-t-il une politique d'utilisation pour chaque classe / type d'actif d'information?
"
A.8.1.3.2;Les utilisateurs sont-ils au courant de cette politique avant utilisation?
A.8.1.4.1;Y a-t-il un processus en place pour que les employés en fin de contrat retournent les actifs en leur possession ?
A.8.2.1.1;"Existe-t-il une politique régissant la classification de l'information?
"
A.8.2.1.2;Existe-t-il un processus par lequel toutes les informations peuvent être classées de manière appropriée?
A.8.2.2.1;Existe-t-il un processus ou une procédure pour s'assurer que la classification de l'information est correctement marquée sur chaque actif?
A.8.2.3.1;"Existe-t-il une procédure pour traiter chaque classification d'information?
"
A.8.2.3.2;Les utilisateurs d'actifs informationnels ont-ils été informés de cette procédure?
A.8.3.1.1;"Existe-t-il une politique régissant les supports amovibles?

"
A.8.3.1.2;Existe-t-il un processus couvrant « comment les supports amovibles sont gérés »?
A.8.3.1.3;La politique et les processus (s) sont-ils communiqués à tous les employés utilisant des supports amovibles?
A.8.3.2.1;Existe-t-il une procédure formelle régissant la façon dont les supports amovibles sont détruits ?
A.8.3.3.1;"Existe-t-il une politique et un processus documentés détaillant la façon dont les médias physiques devraient être transportés?
"
A.8.3.3.2;Les médias sont ils protégés contre les accès non autorisés, les abus, la corruption?
A.9.1.1.1;"Existe-t-il une politique de contrôle d'accès documentée?
"
A.9.1.1.2;La politique est-elle basée sur les exigences du business?
A.9.1.1.3;La politique est-elle communiquée de façon appropriée?
A.9.1.2.1;Des contrôles sont-ils en place pour s'assurer que les utilisateurs ont seulement accès aux ressources du réseau qu'ils ont été spécialement autorisés à utiliser et qui sont nécessaires à leurs tâches?
A.9.2.1.1;Existe-t-il un processus d'enregistrement de l'accès des utilisateurs en place?
A.9.2.2.1;"Y a-t-il un processus formel de maîtrise de la gestion des accès utilisateur pour
attribuer ou révoquer des droits d’accès à tous les types d’utilisateurs de tous les systèmes et de tous les services d’information ?"
A.9.2.3.1;Les comptes d'accès privilégiés sont-ils gérés et contrôlés séparément?
A.9.2.4.1;Existe-t-il un processus de gestion formel pour contrôler l'attribution d'informations d'authentification secrètes?
A.9.2.5.1;"Existe-t-il un processus permettant aux propriétaires d'actifs de réviser régulièrement leurs droits d'accès à leurs actifs?
"
A.9.2.5.2;Ce processus d'évaluation est-il vérifié?
A.9.2.6.1;Existe-t-il un processus pour s'assurer que les droits d'accès des utilisateurs sont supprimés lors de la cessation d'emploi ou du contrat, ou sont-ils ajustés en fonction du changement de rôle dans l’organisation ?
A.9.3.1.1;"Existe-t-il un document regroupant comment les informations contenant l’authentification secrète doit être utilisé ?
"
A.9.3.1.2;Celle-ci est-elle communiqué à tous les utilisateurs ?
A.9.4.1.1;L'accès à l'information et les fonctions d'application système sont-elles restreintes conformément à la politique de contrôle d'accès?
A.9.4.2.1;Lorsque la politique de contrôle d'accès l'exige, l'accès est-il contrôlé par une procédure de connexion sécurisée?
A.9.4.3.1;"Les systèmes de mots de passe sont-ils interactifs?
"
A.9.4.3.2;Des mots de passe complexes sont-ils requis?
A.9.4.4.1;Les programmes utilitaires à privilégiés sont-ils restreints et surveillés?
A.9.4.5.1;L'accès au code source des programmes est-il protégé?
A.10.1.1.1;Y a-t-il une politique pour les contrôles cryptographiques ?
A.10.1.2.1;Y a-t-il une politique pour la gestion sur l’utilisation, la protection et la durée de vie des clés cryptographiques (cycle de vie) ?
A.11.1.1.1;"Y a-t-il un périmètre de sécurité définit ?
"
A.11.1.1.2;Les informations sensible, critique sont-elles isolé et dans un endroit contrôlé ?
A.11.1.2.1;Les zones contrôlés ont-elles des systèmes permettant de vérifier que seulement les personnes autorisées ont accès ?
A.11.1.3.1;"Les  bureaux, salles et équipements ont t-ils été pensé avec de la sécurité ?
"
A.11.1.3.2;Y a-il des processus pour la maintient de la sécurité physique (bureaux propres, fermetures des bureaux) ?
A.11.1.4.1;Existe t-il des protections physiques contre les désastres naturels, les attaques malveillantes ou les accidents ?
A.11.1.5.1;"Existe t-il des zones de travails sécurisées ?
"
A.11.1.5.2;Des processus ont-ils été établi pour ces zones de travails ?
A.11.1.5.3;Ces processus sont-ils surveillés et améliorés ?
A.11.1.6.1;"Y a-t-il des zones de livraisons/de chargement isolés afin d’éviter des accès non-autorisés ?
"
A.11.1.6.2;L’accès à ces zones de chargements sont-elles contrôlés ?
A.11.1.6.3;L'accès à partir des zones de chargement est-il isolé des installations de traitement de l'information?
A.11.2.1.1;"Les dangers environnementaux sont-ils identifiés et pris en compte lorsque les emplacements des équipements sont sélectionnés?
"
A.11.2.1.2;Les risques liés aux accès / passants non autorisés sont-ils pris en compte lors de l'installation du matériel?
A.11.2.2.1;"Existe t-il un système d’alimentation sans interruption ?
"
A.11.2.2.2;Ont-ils été testé et et le résultat montre t-il un délai approprié?
A.11.2.3.1;"Des évaluations des risques ont-elles été menées sur l'emplacement des câbles d'alimentation et de télécommunications?
"
A.11.2.3.2;Sont-ils situés à des endroits ou il sont protégés contre les interférences, les interceptions ou les dommages?
A.11.2.4.1;Existe-t-il un calendrier de maintenance rigoureux?
A.11.2.5.1;"Existe-t-il un processus qui contrôle comment les actifs sont supprimés ?
"
A.11.2.5.2;Ce processus est-il appliqué?
A.11.2.5.3;Des contrôles sur place sont-ils effectués?
A.11.2.6.1;"Existe-t-il une politique couvrant la sécurité des actifs hors site?
"
A.11.2.6.2;Cette politique est-elle largement communiquée?
A.11.2.7.1;"Existe-t-il une politique couvrant comment les actifs d'information peuvent être réutilisés?
"
A.11.2.7.2;Lorsque les données sont effacées, est-ce que cela est correctement vérifié avant la réutilisation / élimination?
A.11.2.8.1;"L'organisation a-t-elle une politique sur la façon dont les équipements sans surveillance devraient être protégés?
"
A.11.2.8.2;Des systèmes techniques sont-ils en place pour sécuriser l'équipement qui a été laissé sans surveillance par inadvertance?
A.11.2.9.1;"Existe-t-il une politique du bureau propre / écran ?
"
A.11.2.9.2;Est-ce bien appliqué?
A.12.1.1.1;"Les procédures d'exploitation sont-elles bien documentées?
"
A.12.1.1.2;Les procédures sont-elles mises à la disposition de tous les utilisateurs qui en ont besoin?
A.12.1.2.1;Existe-t-il un processus de gestion du changement contrôlé?
A.12.1.3.1;"Existe-t-il un processus de gestion de la capacité?
"
A.12.1.4.1;L'organisation applique-t-elle une ségrégation des environnements de développement, de test et d'exploitation?
A.12.2.1.1;"Les processus de détection des logiciels malveillants sont-ils en place?

"
A.12.2.1.2;Les processus sont-ils destinés à empêcher la propagation de logiciels malveillants en place?
A.12.2.1.3;L'organisation a-t-elle un processus et une capacité à récupérer d'une infection malveillante.
A.12.3.1.1;"Existe-t-il une politique de sauvegarde convenue?


"
A.12.3.1.2;La politique de sauvegarde de l'organisation est-elle conforme aux cadres juridiques pertinents?
A.12.3.1.3;Les sauvegardes sont-elles conformes à la politique?
A.12.3.1.4;Les tests de sauvegarde sont-ils effectués?
A.12.4.1.1;Les journaux d'événements appropriés sont-ils maintenus et régulièrement examinés?
A.12.4.2.1;Les installations de journalisation sont-elles protégées contre la falsification et l'accès non autorisé?
A.12.4.3.1;Les journaux sysadmin / sysop sont-ils maintenus, protégés et régulièrement examinés?
A.12.4.4.1;Toutes les horloges de l’organisation sont-elles synchronisées ?
A.12.5.1.1;Existe-t-il un processus en place pour contrôler l'installation de logiciels sur des systèmes opérationnels ?
A.12.6.1.1;"L'organisation a-t-elle accès à des informations mises à jour et en temps opportun sur les vulnérabilités techniques ?
"
A.12.6.1.2;Existe-t-il un processus pour évaluer et réagir à toutes les nouvelles vulnérabilités à mesure qu'elles sont découvertes ?
A.12.6.2.1;Existe-t-il des processus pour restreindre la façon dont les utilisateurs installent le logiciel ?
A.12.7.1.1;"Le SI  sont-ils soumis à vérification ?
"
A.12.7.1.2;L'audit ne perturbe t-il pas l’entreprise ?
A.13.1.1.1;Existe-t-il un processus de gestion du réseau en place ?
A.13.1.2.1;"L'organisation met-elle en œuvre une approche de gestion des risques qui identifie tous les services de réseau et les accords de service ?

"
A.13.1.2.2;La sécurité est-elle obligatoire dans les accords et les contrats avec les fournisseurs de services (en interne et sous-traités).
A.13.1.2.3;Les SLA liés à la sécurité sont-ils mandatés ?
A.13.1.3.1;La topologie du réseau impose-t-elle une ségrégation des réseaux pour différentes tâches ?
A.13.2.1.1;"Les politiques organisationnelles régissent-elles la façon dont les informations sont transférées ?

"
A.13.2.1.2;Les procédures permettant de transférer les données sont-elles mises à la disposition de tous les employés ?
A.13.2.1.3;Des contrôles techniques pertinents sont-ils en place pour empêcher les transferts de données non autorisés ?
A.13.2.2.1;Les contrats conclus avec des parties externes et les accords au sein de l'organisation détaillent-ils les conditions requises pour sécuriser les informations commerciales en cours de transfert?
A.13.2.3.1;Les politiques de sécurité couvrent-elles l'utilisation du transfert d'informations lors de l'utilisation de systèmes de messagerie électronique ?
A.13.2.4.1;"Les employés, les entrepreneurs et les agents signent-ils des accords de confidentialité ou de non-divulgation ?

"
A.13.2.4.2;Ces engagements sont-ils soumis à un examen régulier ?
A.13.2.4.3;Les enregistrements des engagements sont-ils maintenus ?
A.14.1.1.1;"Les exigences de sécurité de l'information sont-elles spécifiées lorsque de nouveaux systèmes sont introduits?
"
A.14.1.1.2;Lorsque les systèmes sont améliorés ou mise à jour, les exigences de sécurité sont-elles spécifiées et abordées?
A.14.1.2.1;Les applications qui envoient des informations sur des réseaux publics protègent-elles de manière appropriée les informations contre les activités frauduleuses, les conflits contractuels, les divulgateurs non autorisés et les modifications non autorisées?
A.14.1.3.1;Des contrôles sont-ils en place pour empêcher une transmission incomplète, une mauvaise transposition, une altération de message non autorisée, une divulgation non autorisée, une duplication de message non autorisée ou des attaques de répétition?
A.14.2.1.1;"L'organisation développe-t-elle un logiciel ou un système?
"
A.14.2.1.2;Si l’item ci-dessus est affirmatif existe-t-il des politiques exigeant la mise en œuvre et l'évaluation des contrôles de sécurité?
A.14.2.2.1;Existe-t-il un processus formel de contrôle des changements?
A.14.2.3.1;Existe-t-il un processus pour s'assurer qu'un examen technique est effectué lorsque les plates-formes d'exploitation sont modifiées?
A.14.2.4.1;Existe-t-il une politique qui exige quand et comment les paquets de logiciels peuvent être changer ou modifiés?
A.14.2.5.1;L'organisation a-t-elle des principes documentés sur la manière dont les systèmes doivent être conçus pour assurer la sécurité?
A.14.2.6.1;"Un environnement de développement sécurisé at-il été établi?
"
A.14.2.6.2;Tous les projets utilisent-ils l'environnement de développement sécurisé de manière appropriée pendant le cycle de développement du système?
A.14.2.7.1;"Lorsque le développement a été externalisé, est-ce supervisé?
"
A.14.2.7.2;Le code développé à l'externe est-il sujet à une évaluation de sécurité avant le déploiement?
A.14.2.8.1;Lorsque des systèmes ou des applications sont développés, les tests de sécurité sont-ils testés dans le cadre du processus de développement?
A.14.2.9.1;Existe-t-il un processus établi pour accepter de nouveaux systèmes / applications, ou mises à niveau, dans l'utilisation de la production?
A.14.3.1.1;"Existe-t-il un processus de séparation des données de test?
"
A.14.3.1.2; données de test sont-elles convenablement protégées?
A.15.1.1.1;"La sécurité de l'information est-elle incluse dans les contrats établis avec les fournisseurs ?
"
A.15.1.1.2;Existe-t-il une approche de gestion des risques à l'échelle de l'organisation pour les relations avec les fournisseurs?
A.15.1.2.1;"Les fournisseurs ont-ils des exigences de sécurité documentées?
"
A.15.1.2.2;L'accès des fournisseurs à l'information et à l'infrastructure est-il contrôlé et surveillé?
A.15.1.3.1;Les accords de fournisseur incluent-ils des exigences pour répondre à la sécurité de l'information dans la chaîne d'approvisionnement des services et des produits?
A.15.2.1.1;Les fournisseurs sont-ils soumis à un examen et une vérification réguliers?
A.15.2.2.1;Les changements apportés à la prestation de services sont-ils assujettis à un processus de gestion qui comprend l'évaluation de la sécurité et des risques?
A.16.1.1.1;Les responsabilités de gestion sont-elles clairement identifiées et documentées dans les processus de gestion des incidents?
A.16.1.2.1;"Existe-t-il un processus de «timely reporting »  opportun des événements de sécurité de l'information?
"
A.16.1.2.2;Existe-t-il un processus pour examiner et agir sur les événements signalés sur la sécurité de l'information?
A.16.1.3.1;"Existe-t-il un processus pour signaler les faiblesses identifiées en matière de sécurité de l'information?

"
A.16.1.3.2;Ce processus est-il largement communiqué?
A.16.1.3.3;Existe-t-il un processus pour examiner et addresser les rapports en temps opportun?
A.16.1.4.1;Existe-t-il un processus pour s'assurer que les événements de sécurité de l'information sont correctement évalués et classés?
A.16.1.5.1;Existe-t-il un processus de réponse aux incidents qui reflète la classification et la sévérité des incidents de sécurité de l'information?
A.16.1.6.1;Existe-t-il un processus ou framework qui permet à l'organisation d'apprendre des incidents de sécurité de l'information et de réduire l'impact / la probabilité des événements futurs?
A.16.1.7.1;"Existe-t-il une politique pour le Forensic ?
"
A.16.1.7.2;Dans le cas d'un incident de sécurité de l'information, les données pertinentes sont-elles collectées de manière à l'utiliser comme preuve?
A.17.1.1.1;"La sécurité d'information est-elle incluse dans les plans de continuité de l'organisation?
"
A.17.1.2.1;La fonction de sécurité de l'information de l'organisation at-elle documenté, mis en œuvre et maintenu des processus pour maintenir la continuité du service lors d'une situation défavorable?
A.17.1.3.1;Les plans de continuité sont-ils validés et vérifiés à intervalles réguliers?
A.17.2.1.1;Les installations de traitement de l'information ont-elles une redondance suffisante pour répondre aux exigences de disponibilité des organisations?
A.18.1.1.1;"L'organisation at-elle identifié et documenté toutes les exigences législatives, réglementaires ou contractuelles pertinentes liées à la sécurité?
"
A.18.1.1.2;La conformité est-elle documentée?
A.18.1.2.1;"Est-ce que l'organisation tient un registre de tous les droits de propriété intellectuelle et l'utilisation de produits logiciels exclusifs?
"
A.18.1.2.2;L'organisation surveille-t-elle l'utilisation de logiciels sans licence?
A.18.1.3.1;Les dossiers sont-ils protégés contre les pertes, les destructions, les falsifications et l'accès ou la publication non autorisés conformément aux exigences législatives, réglementaires, contractuelles et commerciales?
A.18.1.4.1;"1. Les données personnelles sont-elles identifiées et classées de manière appropriée?
"
A.18.1.4.2;Les données personnelles sont-elles protégées conformément à la législation pertinente?
A.18.1.5.1;Les contrôles cryptographiques sont-ils protégés conformément à tous les accords, lois et règlements pertinents?
A.18.2.1.1;"L'approche des organisations pour gérer la sécurité de l'information est-elle soumise à un examen indépendant régulier?
"
A.18.2.1.2;La mise en œuvre des contrôles de sécurité est-elle soumise à un examen indépendant régulier?
A.18.2.2.1;"L'organisation demande-t-elle aux gestionnaires d'examiner régulièrement le respect de la politique et des procédures dans leur domaine de responsabilité?
"
A.18.2.2.2;Les comptes-rendus sont-ils conservés?
A.18.2.3.1;L'organisation effectue-t-elle régulièrement des examens techniques de conformité de ses systèmes d'information?
;
